,name,price,size
0,Gadovist Inj 1PFSx7.5ml,"Rs.3,150",1pfsx7.5ml
1,Gastrografin Sol 100ml,"Rs.1,220.46",100ml
2,Magnevist Inj 1Vialx10ml,"Rs.1,850",10ml
3,Magnevist Inj 1Vialx20ml,"Rs.3,529.42",1...
4,Ultravist 300 Inj 1Vialx50ml,"Rs.1,531.09",50ml
5,Ultravist 300 Inj 1Vialx100ml,"Rs.3,012.60",1vialx100ml
6,Ultravist 370 Inj 1Vialx50ml,"Rs.1,954.42",1Vialx50ml
7,Urografin Inj 76 % 1Vialx100ml,"Rs.1,454.06",1vialx100ml
8,Urografin Inj 76 % 10Vialx20ml,"Rs.3,129.76",10...
9,Gadovist Inj 1Vialx15ml,"Rs.6,300",15ml
10,Omnivist Inj 469mg/ml 1Vialx15ml,"Rs.2,954.29",1vialx3ml
11,Omnivist Inj 469mg/ml 1Vialx10ml,"Rs.1,969.53",1vial
12,Omnivist Inj 469mg/ml 1Vialx20ml,"Rs.3,939.06",1vialx10ml
13,Septrivet Tab 1x200's,"Rs.5,000",200's
14,Magenta Paint 30ml,Rs.150,10gm
15,Zinc Oxide Paste 60% 2...,Rs.285.72,1's
16,Tincture lodine 2 Ounce,Rs.80,1's
17,Zinc Oxide 20% paste 4...,Rs.400,4...
18,Methylene Blue Cap 50's,Rs.450,50's
19,BIPP Paste 30g,"Rs.1,500", 30g
20,Boric Acid Powder 500g,Rs.230,500g
21,Weak Iodine Sol 1 pound,Rs.400,1...
22,Cetavilon Shampoo 500ml,Rs.300,500ml
23,TR. BENZOIN CO 60ml,Rs.100,60ml
24,Eusol Sol 500ml,Rs.140,500ml
25,Micko Tincture Benzoinco 30ml,Rs.50,1's
26,Tincture Benzoinco 30ml,Rs.50,30ml
27,Tincture Iodine 30ml,Rs.60,30ml
28,Descodin N Surface Disinfectant Liq...,"Rs.9,000",500ml
29,Hibarry Gel 3ml,"Rs.11,000",3mL
30,Hibarry Gel 1.5ml,"Rs.9,000",1.5mL
31,Hibarry Gel 5ml,"Rs.14,500",5mL
32,Delta-Net Stockinette 2.5cmx22.8m 1's,"Rs.3,000",1's
33,Delta-Net Stockinette 5cmx22.8m 1's,"Rs.3,200",1's
34,Delta-Net Stockinette 7.5cmx22.8m 1's,"Rs.4,200",1's
35,Delta-Net Stockinette 10cmx22.8m 1's,"Rs.5,550",1's
36,Delta-Net Stockinette 15cmx22.8m 1's,"Rs.7,500",1's
37,Gyntima Gel 1's,Rs.700,1's
38,Talitha Sublingual Spray 50ml,"Rs.1,623.93",50ml...
39,Femicyd Feminine Lotion 60ml,Rs.299.15,60ml
40,Vita Fertility Women Softgel Cap...,"MRP Rs.3,000 5% off Rs.2,850",30's
41,Size Up Cream & Tab...,"MRP Rs.2,500 5% off Rs.2,375",1's
42,Size Up Vitamin Softgel Cap...,"MRP Rs.1,200 5% off Rs.1,140",30's
43,Ultra V Gel 1's,Rs.500,1's
44,Atopalm Maternity Care Cream 150ml,"Rs.2,700",150ml
45,Breast Push-Up Kit 1's,"Rs.9,999",1's
46,First Answer Midstream Strips 1x1's,Rs.260,1's
47,First Answer Ovulation Strips 1x5's,Rs.850,5's
48,Xact PT strip 1's,Rs.30,1's
49,Xact PT strip 50's,"Rs.1,500",50's
50,Xact PT strip (Mid Stream)...,Rs.250,1's
51,Xact PT strip 50's,"Rs.1,500",50's
52,Xact PT strip (Mid Stream),Rs.250,1's
53,Wheel Chair MC809,"Rs.12,000",1's...
54,Wheel Chair M8001(Blue),"Rs.12,500",1's...
55,Wheel Chair KY809,"Rs.11,000",1's...
56,Wheel Chair ML 809PL,"Rs.12,500",1's...
57,Wheel Chair M8001 (Black),"Rs.12,500",1's...
58,Lite Plus Tab 500mg/400mg 30's,"Rs.3,000",30's
59,Green Slim Cap 20's,"Rs.2,250",20's
60,Omron Weigh Scale 1's,"Rs.4,357.50",1's
61,Digital Glass Scale Device,"Rs.2,100",1's
62,Lite Plus Tab 500mg/400mg 30's,"Rs.3,000",30's
63,Hoodia Slim Cap 20's,"MRP Rs.1,800 5% off Rs.1,710",20's
64,Ultra Slim Plus Economy Tab...,"Rs.5,000",45's
65,Ultra Slim Plus Tab 20's,"Rs.2,500",20's
66,Ultra Slim Economy Tab 45's,"MRP Rs.4,000 5% off Rs.3,800",45's
67,Green Slim Cap 20's,"Rs.2,250",20's
68,Ultra Slim Cap 20's,"MRP Rs.2,000 5% off Rs.1,900",20's
69,Apple Cider Vinegar Tab 480mg...,"Rs.3,523.53",200's
70,Agua D-Tox Herbal Water 1000ml,"Rs.3,600",1
71,Metadetox Tab 60's,"Rs.1,690",60's
72,Aquatabs Tab 1.67gm 1x320's,"Rs.6,000",320's
73,Aquatabs Tab 1.67gm 1x200's,"Rs.5,000",200's
74,Aquatabs Food Safe Tab 1x200's,"Rs.5,000",200's
